word,1,2,3,4,5,6
cycle,1.03274,0.059945,1.576656,0.654854,0.733761,0.090978
source,1.313934,0.148588,0.150253,-0.367113,1.188801,1.226138
discret,0.693201,-0.834537,1.583092,1.22989,-0.015544,-0.426333
combinatoire,-0.833679,-1.550531,2.080661,0.440623,1.185583,-0.940175
dynamique,1.091661,-0.547308,2.594783,0.224781,0.785776,-0.455844
inverse,1.228055,0.037172,1.676784,0.272165,-0.434497,-0.872121
minimal,1.173123,0.852165,1.928884,-0.12742,0.581614,-1.503036
extension,1.180974,0.625872,1.676761,0.043559,0.841961,-0.319092
arc,2.104937,0.569944,-0.300971,1.143742,0.637326,-0.35853
énoncé,0.146187,-1.757711,2.355205,1.114306,0.070911,-1.084791
parallèle,1.620998,0.47457,1.106307,0.478519,0.129908,0.140714
négatif,1.106365,-0.389066,2.549598,0.663772,-0.512475,-0.529284
niveau,2.559114,1.079992,1.787258,-0.424429,0.048737,-0.341761
fraction,0.604557,0.098368,0.858017,-0.253621,0.310496,-1.509938
segment,0.740022,1.091985,0.628977,1.578476,-0.133169,-0.502716
norme,0.899918,0.197775,2.776649,-0.599704,0.951397,-0.603844
local,2.329735,0.124115,1.179874,-1.195655,0.445776,0.59609
métrique,0.665112,-0.190399,1.061571,0.399868,1.473486,-1.83254
symétrie,0.436658,-0.449424,1.600767,1.232302,0.709102,-1.866388
inégalité,0.05476,-1.186756,2.072737,-0.252315,-0.105359,-0.98309
chaîne,1.307117,1.127116,1.431065,0.108541,0.063219,0.42467
prouver,1.237368,-1.562955,1.45571,0.132388,-0.820812,-0.11701
Gauss,-0.817073,-1.707489,0.895019,0.442497,0.844591,-1.561928
symétrique,1.247868,-0.317836,1.338912,1.518175,0.732814,-2.014244
Riemann,-1.127011,-1.612137,1.221008,0.889168,1.142892,-1.265788
$\mathbb{Z}$,-0.101347,1.136205,0.260745,1.193816,0.545585,0.236056
polyèdre,-0.40753,-0.573177,0.518192,1.59995,0.395212,-2.474292
binaire,0.426448,0.122007,1.672955,1.300723,0.535286,-1.549357
demi,1.784097,1.549528,-0.401664,0.26258,-1.150698,0.312895
multiplication,0.742008,-0.178233,1.918343,0.394943,0.239817,-1.259423
libre,1.410857,0.23374,1.179011,-0.610274,0.021803,0.887581
identité,1.099125,-1.101605,1.767471,-0.189163,-0.322891,0.816698
Hilbert,-1.167343,-1.214615,1.281588,0.869218,0.65293,-1.000761
scalaire,0.127035,-0.680162,2.076301,1.438578,0.621433,-1.782567
solide,1.733036,-0.170288,1.604023,0.952789,-0.035273,-1.195471
densité,1.735421,0.708687,1.760847,0.110745,1.139073,-1.977274
lemme,-1.089795,-1.240937,0.8962,0.959251,0.024906,-1.908105
polynomial,-0.731646,-0.65437,2.545433,1.129651,0.274446,-1.5351
cinq,2.496111,0.846718,0.020285,-0.251822,-0.402824,0.852892
exponentielle,0.024819,-0.586372,2.205903,0.798595,0.374308,-2.036784
élémentaire,0.767423,-0.867063,1.217188,0.20964,1.552703,-0.26997
argument,0.477872,-1.69422,1.780129,0.403532,-0.178268,0.231327
optimisation,-0.396429,-0.418759,3.028698,0.108699,0.722393,-1.02126
Fourier,-0.685616,-1.521646,0.794048,0.498395,1.203597,-0.942577
dériver,1.085049,0.426895,1.600084,1.050082,0.638319,-0.356423
module,0.654153,1.092051,2.248002,0.571578,0.497583,-1.164177
maximal,1.845328,1.787388,1.725606,0.276873,0.021423,-1.771055
paire,1.248713,0.852797,0.325432,1.488695,-0.658859,-0.911138
uniforme,1.286898,-0.291644,0.749345,0.524672,-0.249443,-0.884317
action,1.364348,0.063466,2.130974,-0.552881,-0.444379,1.069783
total,1.885722,2.013572,1.07954,-0.784597,-0.054843,-0.310334
polygone,0.259997,0.017594,0.358043,0.872067,0.629909,-2.330812
division,1.195258,2.20282,-0.085118,-1.705188,-0.089567,0.617518
signe,1.130797,0.281712,0.592027,-0.004887,-0.948406,0.896416
troisième,1.83382,1.063657,-0.248907,-0.413538,-0.807953,1.282312
composante,1.033768,-0.106562,2.106229,-0.488691,0.711605,-1.078908
paradoxe,-0.332785,-1.69712,1.341408,0.951475,0.077526,-0.142873
égalité,0.75758,-0.023164,1.496564,-1.214047,-1.100024,0.137953
critère,1.079138,-0.251971,2.74906,-0.674237,-0.028669,-0.514702
orthogonal,0.259634,0.163112,1.634725,1.728749,0.692317,-2.379108
moment,1.942543,-0.30761,1.051052,0.267588,-1.366902,0.703313
conséquence,1.895304,-0.569596,1.751271,-0.904873,-1.243483,-0.146062
orienter,1.827798,0.030629,1.454966,0.701331,0.874002,-0.666919
courbure,0.613979,-0.392463,1.566991,1.4982,0.312767,-2.383172
couple,1.411636,-0.182634,0.222693,0.695829,-1.211633,0.941586
relatif,1.37044,-0.53512,2.315556,-1.164883,0.774336,0.038487
morphisme,-0.394928,-0.053572,1.845649,1.628743,0.523171,-2.296883
central,1.955051,1.098081,0.600957,-0.863303,0.670287,0.305082
observation,1.144252,-0.276651,1.570196,0.324263,0.933891,-0.101237
fixe,1.669543,0.556004,1.344788,0.076556,0.150192,-0.893894
raisonnement,0.071818,-2.215881,2.639361,0.570816,0.056978,-0.78686
cardinal,0.834453,-0.963447,-1.888339,-0.623016,-0.448867,0.46543
quadratique,-0.222959,-0.493983,1.960077,1.252276,0.64477,-2.151528
dual,-0.784778,0.643258,1.523132,1.323711,0.429263,-1.553321
multiple,1.396393,-0.03454,1.704074,0.587479,-0.152917,0.128788
dénombrable,-0.127375,-0.906851,1.403037,0.850093,0.225476,-2.712056
cube,0.527938,1.252378,0.751968,1.53735,0.108304,-1.144524
récurrence,-0.412858,-0.666054,1.775943,1.146388,-0.455101,-1.543955
ordonner,1.309823,-1.249662,-0.193287,-1.080691,-0.710434,-0.196413
maximum,1.605782,1.449839,1.488369,0.142345,-0.223852,-0.787158
variation,0.921846,0.229004,1.643704,1.159168,1.041804,-0.361803
pair,0.61374,-1.009443,-0.56201,-0.721946,0.106244,0.176387
projection,0.671503,0.120226,1.508658,1.176794,0.472035,-0.366373
ajouter,2.112074,0.151844,1.01822,0.429451,0.134145,-0.032301
Fermat,-0.852794,-1.805081,0.430342,0.569428,0.542959,-1.439099
fonctionnel,1.056782,-0.663984,2.596198,0.337899,0.986977,-1.036247
intérieur,2.783123,-0.026327,0.297292,0.028152,0.12968,-0.095079
milieu,2.561209,0.037874,0.722312,-0.200241,0.025764,0.08076
tendre,2.148066,-0.698175,1.109541,0.815751,-0.493859,-0.411976
expérience,1.239328,-0.827376,2.000368,0.221425,-0.275035,0.85058
voisinage,1.245247,-0.636081,0.819793,0.203592,-0.022526,-1.427876
commutatif,-0.357518,-0.406369,1.918335,1.642026,0.972024,-1.921756
estimation,0.838214,0.302037,1.79394,-0.649481,0.362637,-0.737906
projectif,-0.035895,-0.661685,1.513572,1.302024,1.224632,-2.31092
quotient,-0.262681,-0.046976,1.500374,0.435348,0.151358,-2.06194
Newton,-0.939562,-0.409926,0.189118,0.816664,-0.288815,0.638653
dix,2.227707,0.679177,0.054381,-0.369064,-0.695844,0.902168
localement,1.606203,-0.123009,0.920181,0.052673,0.406728,-1.513734
borne,1.095801,0.367208,0.453011,0.51301,0.672571,-0.900142
exact,1.27556,-0.999103,1.700716,0.296163,0.28003,-0.505862
six,2.117853,1.19217,0.186773,0.006684,-0.489154,0.938037
impair,0.703906,0.464669,0.354367,0.6455,0.287768,-1.852413
équivalence,-0.104403,-0.411202,2.171448,0.305458,0.556375,-1.471796
Cauchy,-0.655666,-1.809117,0.57285,0.537274,0.797923,-1.58687
échelle,1.709188,0.247617,1.793177,-0.12207,0.53414,-0.576215
rectangle,0.995213,0.391242,0.207062,1.976305,0.614722,-1.93254
ordinal,-0.782293,-0.889532,1.028041,0.183778,-0.054319,-2.400117
échantillon,1.153591,0.236873,1.896299,0.868428,0.303265,-1.077875
réciproque,0.258625,-1.48152,2.037241,0.41554,-0.671797,-1.078948
minimum,1.493155,1.304866,1.876317,-0.663453,-0.193332,-0.876021
engendrer,1.122889,-0.558553,1.85777,0.400528,-0.799043,-1.145963
stable,1.124949,0.362247,2.079156,0.326882,-0.196135,-1.205297
algorithmique,-0.893307,-1.430718,2.737334,0.463655,1.149274,-1.204447
fibré,-0.704537,-0.416774,1.427796,1.549672,1.317299,-2.405396
universel,1.134082,-1.37959,1.112734,-0.586666,1.274589,0.711951
union,1.185261,0.095196,0.455959,-2.237731,-0.158962,1.393342
diagramme,-0.08406,-0.041193,1.35959,1.143036,0.376512,-1.434481
événement,1.416811,0.046564,0.846931,-0.638963,-0.464966,1.040905
Turing,-1.659086,-1.357726,1.70937,0.311759,0.018148,-0.373755
addition,-0.004224,0.185808,1.386733,0.731575,0.717833,-0.991437
stratégie,0.855395,-0.375745,2.544761,-0.742783,-0.310608,0.451785
optimal,0.492171,0.307564,2.766126,0.449055,0.100344,-1.321662
variance,-0.659406,-0.052571,2.385201,0.542992,-0.273505,-2.182918
permutation,-0.113759,-0.059355,1.197304,1.137721,0.046984,-2.11302
disque,0.943077,1.234528,1.147919,1.859457,-0.1296,0.996388
tenseur,-0.596274,-0.921097,1.612901,1.287394,0.102285,-2.424473
hyperbolique,-0.162033,-1.077228,1.292827,1.277568,1.126552,-2.777805
décomposition,0.764543,-0.514205,1.736791,1.077675,0.278366,-1.797087
elliptique,0.749553,-0.122758,0.557848,1.918771,0.940963,-2.261204
