word,1,2,3,4,5,6,7,8,9,10
identity,-0.519869,0.843293,0.257876,0.22562,-0.238608,1.607843,1.286671,-0.084195,0.493596,-1.548637
four,-0.192318,0.848175,0.032341,0.205543,-0.037647,-0.801935,-0.086279,-1.307777,1.968263,-0.408409
rule,0.503587,1.231327,-0.0161,1.433389,-0.788386,1.068311,0.316005,-1.211724,0.462089,-1.107556
topological,0.810591,-0.791719,0.738645,-0.684905,1.645237,1.288263,2.451126,-0.060793,-1.001169,1.138002
computer,-1.661535,0.910843,1.827035,-0.043644,0.159049,0.915349,1.413281,0.088005,1.080383,1.025451
derivative,0.336438,0.155734,0.048354,-0.711274,0.016072,0.722268,2.193553,-0.566731,0.212229,0.887534
symmetry,0.842934,-0.506471,0.280263,-0.778091,1.249162,0.609712,2.599802,-0.758143,-0.567099,0.393535
compact,0.476571,0.089536,1.137115,-0.684127,0.357594,-0.257798,1.201076,-0.684561,0.972358,0.952027
factor,-0.262697,0.184423,-0.860983,-0.317541,-0.42996,2.056172,2.182984,-1.204659,1.249568,0.381121
family,0.085974,0.887493,-1.403766,0.721817,0.512018,0.184332,-0.641776,0.12094,1.345942,-1.352975
transform,0.15743,0.293649,0.545401,-0.87298,0.339599,0.64809,1.080868,-0.650821,0.533321,-0.746465
convex,2.250093,-1.710059,0.118059,-1.17322,1.592096,0.050541,1.780201,-0.344326,0.918362,0.187445
domain,0.786811,1.006395,0.337545,-0.18416,0.16431,0.85623,1.800572,-0.662604,0.048443,0.521357
subgroup,1.763543,0.111402,-0.878984,-0.856588,-0.0868,0.423635,1.325592,0.886226,-0.194026,0.425337
construct,1.139279,1.198887,0.619935,-0.368449,1.480999,0.341233,-0.342176,-1.000309,1.298323,-0.090148
axiom,0.302547,-0.776017,0.976856,0.36187,0.202427,1.074676,1.717335,0.170236,-1.252191,0.747445
construction,0.896355,1.639512,0.619073,-0.247847,0.676562,0.447627,-0.637981,-1.172516,1.395737,0.324231
therefore,0.766829,0.638123,-0.160249,-0.021482,-0.207369,1.431093,1.420714,-1.79708,0.905761,-0.980423
compute,-0.294783,0.40925,1.425462,-0.097264,0.650489,1.437592,2.33855,-0.117184,0.567329,1.625838
normal,0.238218,0.025535,-0.351853,-0.668122,-0.167132,0.825943,1.314112,-1.081443,1.540235,0.198228
distance,0.555538,0.518845,-0.308987,-0.395246,-0.145043,-0.095368,0.631035,-1.046754,1.513595,0.451505
notation,0.569031,0.172306,1.039643,0.177673,1.101551,0.001275,2.646891,0.177185,-0.332345,0.308343
parameter,0.442365,-0.171704,0.283044,0.058337,0.892613,1.302927,3.335723,-1.298946,0.50272,1.31305
euclidean,1.505729,-0.859278,0.670493,-0.126142,1.76533,0.778362,2.181089,-0.147046,-0.785235,0.936471
symmetric,1.437749,-0.915482,0.940685,-0.534064,0.901388,0.405958,2.573034,-0.902414,-0.377533,0.832464
metric,0.720192,-0.115842,0.423782,0.284336,0.427327,1.01712,1.973901,-0.340896,0.561514,1.380402
test,-0.74296,0.185733,0.057553,0.131423,-0.313284,0.898358,1.117956,-1.701115,1.321414,0.930744
bundle,0.449795,-0.69649,1.377202,-0.437979,0.346365,-0.056549,1.872458,-0.244982,0.983564,0.496893
center,-0.710685,1.299614,-0.388926,-0.263541,-0.210574,0.360626,-0.543068,0.420181,2.083662,0.918253
symbol,0.99996,1.061124,0.659919,-0.422082,0.159517,0.075971,1.630097,0.246117,0.645574,-1.021651
projective,1.031685,-1.27839,0.872514,-0.431218,1.743251,0.835203,2.335606,0.25225,-1.01108,0.918105
sphere,0.685568,0.524471,0.52117,-0.947505,0.509058,0.644372,1.572385,-0.437218,0.061128,-0.433803
interval,1.083864,-0.440971,0.162751,0.200639,0.237038,0.173044,2.021814,-1.27194,0.939165,0.428614
single,-1.288182,0.049219,0.252634,0.04504,-0.272282,-1.393604,1.221638,-1.050044,2.208901,-0.37578
geometric,1.055373,0.270938,1.204956,-1.491769,2.247785,0.404096,2.268042,0.129664,0.155151,-0.079181
ideal,0.209332,0.48377,0.42588,-0.819005,0.398609,1.191103,1.243507,-0.462499,0.404625,-1.075965
dual,0.094182,0.413472,1.043567,-0.044772,-0.312254,0.067358,0.924882,-0.760297,0.989898,1.081937
module,0.126177,0.134402,1.876218,-0.130033,0.203357,0.115764,2.057657,-0.880578,0.71135,1.578372
invariant,1.327578,-0.531295,0.577891,0.089999,1.651566,0.995601,2.532965,-0.899097,-1.265706,0.899894
$\mathbb{Q}$,-0.502359,-0.436652,-0.178581,0.283154,-0.489468,-0.882594,1.488826,-0.047985,0.532182,0.673593
index,0.082323,1.113181,-0.109758,0.304513,0.580216,0.974502,1.740362,0.231155,0.775323,1.259741
information,-0.761052,1.544995,0.669332,0.277034,-0.127686,1.767763,1.018982,-0.471906,1.126919,0.292543
transformation,-0.082081,0.599583,0.42042,-0.542768,0.577414,1.29928,1.735326,-0.437618,0.051326,-0.004359
extension,0.653957,0.810258,0.992623,-0.015632,0.564207,0.61726,0.303394,-0.407534,1.535801,1.029288
direct,-1.962491,0.271142,-0.160522,0.028462,-0.333172,-0.251709,0.441405,-0.345083,0.517822,-0.995739
uniform,0.460291,0.149909,1.027447,-0.519652,0.23184,0.413921,0.255629,-1.25406,1.004856,-0.125179
path,0.670697,0.254507,0.561132,-0.384723,0.375556,0.401478,0.719444,-0.627926,1.481228,-0.465392
negative,-0.465092,-0.458762,-0.465689,0.142061,-0.43641,1.733321,2.456403,-0.983072,1.187574,-0.690349
image,-0.371308,0.789341,0.772942,-0.558072,1.109701,0.105616,1.729391,-0.146707,1.300616,-0.763182
member,-1.260885,1.73107,-0.498884,0.584375,-0.536658,0.743991,-1.242985,-0.32553,0.702825,-0.692698
inverse,0.647211,-0.714394,0.106408,0.046619,0.92982,0.994569,2.846915,-0.731764,-0.436246,1.054084
step,-0.448538,-0.133624,0.525464,0.013634,0.088468,0.421158,0.720306,-1.325267,1.166731,-0.549645
independent,-0.810536,1.396575,0.256669,0.421631,-0.54153,1.050425,-0.174051,-0.259058,1.057937,-0.081959
arithmetic,0.711349,-0.149513,1.106771,0.577985,1.30801,0.90232,2.488951,0.062394,-0.491189,0.677712
position,-0.223537,1.042636,-0.059137,0.406579,-0.530548,0.631218,0.028678,-1.805841,0.759147,-0.407395
calculus,0.17107,-0.14653,0.408402,0.187269,1.287861,1.495788,1.8498,0.405715,-1.011022,1.183315
rational,-0.058963,-0.068187,1.071479,0.255136,0.771183,2.386857,2.122501,-0.120589,-0.467899,-0.665931
law,-0.554464,1.611547,-0.513031,1.485723,-0.040619,2.080833,-0.352481,-0.35225,0.433033,-0.652929
tree,0.836818,0.002529,-0.693773,-1.101792,1.214311,0.075252,0.338158,0.060486,2.370238,-1.077218
component,0.259842,0.978713,0.828105,-1.159258,0.246211,1.065244,2.147159,-1.409766,1.363688,1.301717
lattice,1.226784,-0.578826,0.599878,-1.411923,1.710912,0.294251,1.786472,-0.884367,0.0175,1.123495
inequality,0.204749,-0.138204,-0.699041,-0.105616,-0.210527,2.796392,1.444448,0.250041,-0.369524,0.111933
volume,-0.179819,1.42191,-0.298906,0.989382,1.665723,-0.543785,1.552473,0.169903,0.838737,0.197827
section,0.583783,1.234887,0.233531,0.282016,0.533218,0.015553,0.191471,-0.681354,1.65016,0.40508
add,-0.13324,0.409249,0.895242,0.273172,0.296687,-0.029417,0.818848,-1.009576,1.947005,-0.363237
$\mathrm{e}$,-0.290457,1.269544,-0.57335,0.287156,-0.343329,-1.469455,1.072322,0.524735,0.464566,0.100485
fundamental,-0.321839,1.167264,0.278039,0.108428,0.444801,2.186735,2.152463,-0.399654,-0.155729,-0.168689
